season,round,pick,team,name,position,college,conference,day_of_birth,age,top_executive,link_ras,RAS,AllTime
2022,5,154,JAX,Snoop Conner,RB,Ole Miss,SEC,2000-08-01,22.08,Trent Baalke,http://RAS.football/ras-information/?PlayerID=21582,7.07,7.07
2022,5,155,DAL,Matt Waletzko,OT,North Dakota,MVFC,1999-12-15,22.71,Jerry Jones,http://RAS.football/ras-information/?PlayerID=21102,9.96,9.96
2022,5,156,CLE,Jerome Ford,RB,Cincinnati,The American,1999-09-12,22.97,Andrew Berry,http://RAS.football/ras-information/?PlayerID=21438,6.95,6.95
2022,5,157,TB,Zyon McCollum,CB,Sam Houston State,WAC,1999-05-03,23.33,Jason Licht,http://RAS.football/ras-information/?PlayerID=21142,10,10
2022,5,158,SEA,Tyreke Smith,DE,Ohio State,Big Ten,2000-02-14,22.55,John Schneider,http://RAS.football/ras-information/?PlayerID=21046,7.14,7.14
2022,5,159,IND,Eric Johnson,DT,Missouri State,MVFC,1998-07-16,24.13,Chris Ballard,http://RAS.football/ras-information/?PlayerID=7529,9.39,9.39
2022,5,160,LAC,Otito Ogbonnia,DT,UCLA,Pac-12,2001-12-03,20.74,Tom Telesco,http://RAS.football/ras-information/?PlayerID=21019,4.78,4.78
2022,5,161,NO,D'Marco Jackson,LB,Appalachian State,Sun Belt,1998-07-20,24.12,Mickey Loomis,http://RAS.football/ras-information/?PlayerID=21085,8.29,8.29
2022,5,162,DEN,Montrell Washington,WR,Samford,SoCon,1999-03-14,23.47,George Paton,http://RAS.football/ras-information/?PlayerID=22882,4.34,4.34
2022,5,163,TEN,Kyle Philips,WR,UCLA,Pac-12,1999-06-17,23.21,Jon Robinson,http://RAS.football/ras-information/?PlayerID=21447,8.32,8.32
2022,5,164,LA,Kyren Williams,RB,Notre Dame,Ind. (FBS),2000-08-26,22.02,Les Snead,http://RAS.football/ras-information/?PlayerID=20977,3.52,3.52
2022,5,165,MIN,Esezi Otomewo,DE,Minnesota,Big Ten,1999-03-09,23.48,Kwesi Adofo-Mensah,http://RAS.football/ras-information/?PlayerID=21054,6.63,6.63
2022,5,166,CIN,Tycen Anderson,S,Toledo,MAC,1999-06-13,23.22,Duke Tobin,http://RAS.football/ras-information/?PlayerID=21090,9.49,9.49
2022,5,167,DAL,DaRon Bland,CB,Fresno State,MW,1999-07-12,23.14,Jerry Jones,http://RAS.football/ras-information/?PlayerID=22484,8.19,8.19
2022,5,168,CHI,Braxton Jones,OT,Southern Utah,Big Sky,1999-03-27,23.43,Ryan Poles,http://RAS.football/ras-information/?PlayerID=21105,8.44,8.44
2022,5,169,MIN,Ty Chandler,RB,North Carolina,ACC,1998-05-12,24.31,Kwesi Adofo-Mensah,http://RAS.football/ras-information/?PlayerID=21367,6.38,6.38
2022,5,170,HOU,Teagan Quitoriano,TE,Oregon State,Pac-12,2000-03-15,22.46,Nick Caserio,http://RAS.football/ras-information/?PlayerID=21218,4.73,4.73
2022,5,171,DEN,Luke Wattenberg,C,Washington,Pac-12,1997-09-10,24.97,George Paton,http://RAS.football/ras-information/?PlayerID=21027,9.59,9.59
2022,5,172,SF,Samuel Womack,CB,Toledo,MAC,1999-07-07,23.15,John Lynch,http://RAS.football/ras-information/?PlayerID=22883,7.78,7.78
2022,5,173,NYG,Marcus McKethan,OG,North Carolina,ACC,1999-05-19,23.29,Joe Schoen,http://RAS.football/ras-information/?PlayerID=21427,7.88,7.88
2022,5,174,CHI,Dominique Robinson,DE,Miami (OH),MAC,1998-07-02,24.17,Ryan Poles,http://RAS.football/ras-information/?PlayerID=21076,9.74,9.74
2022,5,175,LV,Matthew Butler,DT,Tennessee,SEC,1999-06-10,23.23,Dave Ziegler,http://RAS.football/ras-information/?PlayerID=21171,7.28,7.28
2022,5,176,DAL,Damone Clark,LB,LSU,SEC,2000-06-28,22.18,Jerry Jones,http://RAS.football/ras-information/?PlayerID=21081,9.87,9.87
2022,5,177,DET,James Mitchell,TE,Virginia Tech,ACC,1999-08-11,23.06,Brad Holmes,http://RAS.football/ras-information/?PlayerID=20995,NA,NA
2022,5,178,DAL,John Ridgeway,DT,Arkansas,SEC,1999-05-07,23.32,Jerry Jones,http://RAS.football/ras-information/?PlayerID=21072,4.74,4.74
2022,5,179,GB,Kingsley Enagbare,DE,South Carolina,SEC,2000-01-18,22.62,Brian Gutekunst,http://RAS.football/ras-information/?PlayerID=21033,6.26,6.26
2022,6,180,BUF,Matt Araiza,P,San Diego State,MW,2000-05-16,22.29,Brandon Beane,http://RAS.football/ras-information/?PlayerID=21384,9.49,9.49
